episod,total_reward
1,-7.66315770396
2,-7.67587625009
3,-7.43199673167
4,-11.269197534
5,-21.5213361106
6,-6.55106819808
7,-13.0379866671
8,-15.2716104866
9,-9.59018728768
10,-8.11356029832
11,-49.2159615391
12,-5.21987111252
13,-11.2211794743
14,-24.5465647463
15,-24.679662493
16,-17.1956633252
17,-10.1931878851
18,-42.7168350223
19,-9.22899641861
20,-6.43300124048
21,-31.1321848177
22,-21.6151942104
23,-12.0767434713
24,-3.71851238496
25,-5.02711271327
26,1.90550829494
27,4.02704314666
28,2.25492582757
29,-0.863080206857
30,-14.8781167539
31,0.506277218649
32,-8.26161656036
33,-19.7475629833
34,-26.8615819976
35,-14.2577712008
36,-12.7598105533
37,-30.4495055348
38,-8.49400080852
39,-8.07374235578
40,-2.43981457084
41,-3.76710766428
42,-4.94325088958
43,-8.81164369568
44,0.893016643945
45,-4.3893379445
46,3.90865769779
47,-12.9783339307
48,1.96619721023
49,3.34958113686
50,1.94558475473
51,2.004345832
52,2.95209940707
53,-5.71048025627
54,-0.594578112613
55,1.42139054455
56,-4.05369441715
57,-12.22267292
58,-5.59155674007
59,-19.5521435881
60,-6.09416500637
61,-5.77606528689
62,-6.18748084737
63,-8.01120332099
64,-11.3457919623
65,-20.5237522152
66,6.28807984365
67,13.3348693346
68,-9.92009677905
69,13.4347682166
70,4.51867879825
71,6.19142068826
72,-3.63355701493
73,-3.00487523254
74,-14.4225534883
75,-37.610265303
76,-28.8204204678
77,-43.9365886976
78,-8.0500950374
79,-8.00266848789
80,-10.4994734052
81,-28.6755169968
82,-9.68688013902
83,-16.3272257262
84,-12.5616885425
85,-11.3459813269
86,-14.2630795216
87,-9.50542727518
88,-13.5217955591
89,-13.841665686
90,-52.2539622152
91,-137.939952243
92,-20.6138464542
93,-14.3659421178
94,-21.142352946
95,-19.7357294661
96,-19.8225898002
97,-43.0710260644
98,-29.2000804747
99,-30.3179235329
100,-1.14187874096
101,-14.3737355453
102,-27.0984611561
103,-10.8291328383
104,-132.830777885
105,-19.8352826717
106,-39.118829416
107,-32.5491200402
108,-25.9750659718
109,-17.9224358784
110,-6.0854479264
111,-2.52147809545
112,0.72652645378
113,-5.27146310482
114,-6.34573151526
115,-7.15752766487
116,-1.23179317278
117,-0.0702710452004
118,-5.88724831302
119,-5.60957050662
120,7.3309593654
121,-1.7728635258
122,-2.30351014915
123,-1.89031209613
124,-2.40909279907
125,-4.24274306566
126,1.33324724979
127,-4.92463851327
128,-0.00336614727355
129,-5.15442785657
130,0.0130838368506
131,3.14061900216
132,7.77738472145
133,2.22145221854
134,4.74322739999
135,3.3595869259
136,5.94394177266
137,7.91037105575
138,3.72608314916
139,6.53746870664
140,6.28552177249
141,6.25185965102
142,6.26624329582
143,6.03134981717
144,3.44295779171
145,3.37400141404
146,6.17719331965
147,3.53801284559
148,5.13277837446
149,3.0366060307
150,7.86145540907
151,7.00593950917
152,6.42025411863
153,7.14585200394
154,0.0180468823291
155,6.45349511378
156,-1.69788157667
157,2.59840216604
158,2.07808330402
159,3.98556750496
160,-7.82810584429
161,2.49323455473
162,-5.74176371317
163,-6.43117969222
164,-9.35547968676
165,-3.79436323246
166,4.4916049914
167,-2.24554957945
168,-2.67814397705
169,-6.42324971637
170,-0.676620032386
171,0.889197739831
172,2.21343059342
173,5.5788281825
174,3.4374244615
175,5.64304880707
176,5.03962028941
177,5.63099255086
178,0.39839073804
179,-1.22869022484
180,-4.13311183902
181,-4.76683281121
182,-4.13992420337
183,-2.82774047416
184,-6.81412487331
185,-3.88854159033
186,-5.57596971462
187,-1.06782800374
188,-3.58695533188
189,-2.1288531254
190,-2.04309596847
191,-1.85644352008
192,-9.1858029465
193,-20.4458385892
194,-6.2605823986
195,-1.84316134711
196,-7.20113972241
197,-5.64235085937
198,-2.22357152288
199,-7.5554996338
200,-2.12992038495
201,5.82511321543
202,-1.45308156691
203,-9.89085569669
204,3.2723074255
205,-0.169701658599
206,-35.5236428679
207,-34.9899392158
208,-32.79519686
209,-36.8114419857
210,-39.4712157746
211,-38.397956262
212,-39.5328832888
213,-44.5195519951
214,-4.84709459372
215,-44.3709785848
216,-32.6592291349
217,-35.8011196996
218,-35.0245429495
219,-24.5008870862
220,-16.4121016515
221,-20.9307934943
222,-20.3225556729
223,-18.8764463049
224,-80.0714173879
225,-42.7811173045
226,-41.2796293981
227,-36.3774567575
228,-27.4031020596
229,-11.2598962705
230,-9.31039355255
231,-9.2158187402
232,-2.15310686605
233,-18.2163995493
234,-42.9139791228
235,-26.0242227049
236,-7.00519788976
237,0.732805933238
238,2.02472855448
239,2.53716466575
240,2.03338705944
241,2.02658936441
242,1.95386449315
243,1.82687032039
244,2.5074817789
245,2.45462341973
246,2.46413770888
247,2.11354975414
248,3.04779091226
249,1.29481616283
250,1.59193499087
251,2.15747746692
252,2.6331945964
253,2.06622442219
254,2.34127811364
255,2.58698717109
256,5.03944321985
257,0.858880477926
258,3.32089958223
259,-0.819864656863
260,-0.571084170741
261,4.60121435331
262,3.75220071518
263,2.37066480542
264,-0.324191818558
265,0.962992086347
266,4.43368379913
267,5.77699083459
268,2.6614427439
269,2.46165120365
270,5.22748089814
271,3.51160270347
272,2.16415753829
273,1.35791156258
274,5.10182488248
275,4.67518570738
276,2.86103399366
277,2.12757764797
278,2.37346799969
279,2.34032491733
280,5.20173353028
281,3.28919503565
282,3.61952162158
283,2.51975375578
284,2.6704421287
285,2.53374387995
286,2.20252907963
287,2.20432626533
288,2.34122280731
289,4.47741025935
290,0.0025257395577
291,-4.87289869969
292,-8.11412404346
293,-16.7080822693
294,0.0815629887304
295,-1.85113379563
296,-8.52086413807
297,-1.97132281812
298,-7.7434564353
299,-4.95559703592
300,-29.1763141946
301,4.5334548006
302,-6.91050090708
303,-8.84593513225
304,-0.935964809156
305,-15.5970424964
306,0.072082819647
307,-15.8870996816
308,-18.5206743623
309,-3.80026307629
310,-7.80412715361
311,-9.48823233077
312,-2.08560298323
313,-1.53441943224
314,-4.89542256659
315,-8.22928058403
316,-7.82511848839
317,2.25525135769
318,1.7919396562
319,2.34245181835
320,2.05359624389
321,2.18755284099
322,2.2864607611
323,4.75617612564
324,3.69641038266
325,-1.20911233698
326,-14.1357430862
327,5.24422105597
328,-0.744665404439
329,-3.88366291662
330,-0.2761666031
331,2.9474100088
332,-11.2037705444
333,-9.82112976953
334,3.66865420162
335,-20.6371294256
336,-26.3984134179
337,-38.8118536278
338,-39.2249268527
339,-2.19901372378
340,0.0382630737835
341,-6.05379417796
342,-10.7114823332
343,-22.5329605474
344,-46.2819745215
345,-0.103423867961
346,-38.2792136835
347,-64.6232748279
348,-65.176151354
349,-77.0560626888
350,-60.1833024182
351,-23.9192206127
352,-1.18930168396
353,1.42268999533
354,-1.48555146928
355,-68.5907306238
356,-11.8197493606
357,-13.3064562211
358,-1.76046116452
359,-46.6660428692
360,-34.1246286599
361,-0.857475697596
362,-3.96839328324
363,6.68465831683
364,2.09791598101
365,-0.88314540676
366,2.38588928357
367,2.77733433327
368,-0.723288652567
369,0.751718756701
370,1.81216534657
371,-29.3487160321
372,-0.775393386697
373,6.41773678925
374,-44.4321650319
375,-18.2695793555
376,7.12335570261
377,-19.2962689277
378,-25.7882018318
379,-0.868787846869
380,-9.74838457311
381,-1.82169566925
382,5.38962523631
383,-0.34956029249
384,1.72164218023
385,5.15782692983
386,6.40054951294
387,8.72799588592
388,3.49839935204
389,-27.0001243051
390,-67.376825631
391,-73.1402262397
392,-7.9229315269
393,-113.267945669
394,-1.65087592325
395,-62.0188052238
396,-58.1608768123
397,-74.0865742061
398,-63.3339868498
399,-72.5069797555
400,-105.494808676
401,-28.3860051889
402,-41.7216731853
403,-40.6518906398
404,-5.59590066256
405,-34.1184350738
406,-8.73990877046
407,-39.1735684254
408,0.706467034012
409,1.50875598445
410,-85.5860299195
411,-26.8512300889
412,-22.0976455023
413,-126.093603711
414,-111.426028494
415,-126.89447257
416,-167.734454638
417,-166.26365969
418,-165.547383948
419,-167.3248907
420,-165.21434962
421,-103.763753163
422,-79.3114044357
423,-23.9084032396
424,-3.75512698264
425,1.7865412781
426,-0.599433630597
427,-36.97848486
428,-61.7193003896
429,-55.37939962
430,-71.1591839776
431,-48.5220074311
432,-60.4118605725
433,-50.0579611588
434,-35.5499708668
435,-49.3643980143
436,-154.288653671
437,-131.107665391
438,-166.448457947
439,-162.074728966
440,-53.8362724576
441,-56.2459604715
442,-56.6556477175
443,-44.5728797161
444,-57.1912983302
445,-38.0850744419
446,-18.3543907625
447,-77.9000007892
448,-19.4431294407
449,-0.412927678135
450,-1.84805585933
451,4.29051997834
452,-0.938152885534
453,3.02540623349
454,0.554861507202
455,-8.21234529171
456,3.60502287844
457,1.52174080968
458,2.2117067868
459,3.10690618931
460,1.46469053456
461,-2.4406970142
462,-1.33425977234
463,-4.90554262991
464,-14.9549496265
465,-4.78048068172
466,2.16147936001
467,-3.57982167732
468,-9.82300271733
469,-14.6854355652
470,0.667939039891
471,-176.412184797
472,-5.63946118004
473,-52.229371214
474,-128.501509277
475,0.547594068503
476,-2.83013480799
477,1.78565376822
478,-3.53784572768
479,-2.85568888131
480,-3.68642078197
481,-3.40738939202
482,-3.28425498774
483,-4.08803616927
484,-3.69148368006
485,-3.50267185763
486,-3.89787972223
